Frequency (Hz),RCS (m²)
10000000.0,6.196887290830314e-13
60080160.32064128,8.073652861137379e-10
110160320.64128256,9.123864953643365e-09
160240480.96192384,4.0837543521049e-08
210320641.28256512,1.2115771299270133e-07
260400801.6032064,2.845809710436802e-07
310480961.9238477,5.748438514877122e-07
360561122.24448895,1.0448626862767245e-06
410641282.56513023,1.756660486165628e-06
460721442.8857715,2.781280394384361e-06
510801603.2064128,4.198684893943713e-06
560881763.5270541,6.097639434544954e-06
610961923.8476954,8.575578470196455e-06
661042084.1683366,1.1738451045347507e-05
711122244.4889779,1.5700542018917507e-05
761202404.8096192,2.0584263757476907e-05
811282565.1302605,2.6519911649567195e-05
861362725.4509017,3.364537508567171e-05
911442885.771543,4.2105793611755e-05
961523046.0921843,5.2053145806151134e-05
1011603206.4128256,6.364575606893308e-05
1061683366.7334669,7.704770198400972e-05
1111763527.0541081,9.242810227114822e-05
1161843687.3747494,0.00010996026266725092
1211923847.6953907,0.0001298206544743372
1262004008.016032,0.000152187698134908
1312084168.3366733,0.00017724032223815728
1362164328.6573145,0.00020515626706926128
1412244488.9779558,0.00023611010149244193
1462324649.298597,0.00027027092297027906
1512404809.6192384,0.00030779971328858817
1562484969.9398797,0.00034884632754944887
1612565130.260521,0.00039354610171788616
1662645290.5811622,0.00044201607496529405
1712725450.9018035,0.0004943508377068059
1762805611.2224448,0.0005506180349367722
1812885771.543086,0.0006108535773968823
1862965931.8637273,0.0006750566401531123
1913046092.1843686,0.0007431845588075689
1963126252.50501,0.0008151477668256458
2013206412.8256512,0.0008908049517172443
2063286573.1462924,0.0009699586408154133
2113366733.4669337,0.0010523514562318815
2163446893.787575,0.001137663299755218
2213527054.1082163,0.001225509738149242
2263607214.428858,0.001315441853633538
2313687374.749499,0.0014069477998423202
2363767535.07014,0.0014994562578088835
2413847695.3907814,0.001592341918640973
2463927855.711423,0.0016849330307919434
2514008016.032064,0.0017765209439480835
2564088176.352705,0.0018663714648894983
2614168336.6733465,0.001953737721896187
2664248496.993988,0.0020378741236283587
2714328657.314629,0.0021180509067091607
2764408817.63527,0.002193568703470935
2814488977.9559116,0.0022637725352829033
2864569138.276553,0.002328064651931783
2914649298.597194,0.00238591569383881
2964729458.917835,0.002436873747214372
3014809619.2384768,0.0024805709843633266
3064889779.5591183,0.0025167277211372444
3114969939.8797593,0.0025451538684099955
3165050100.2004004,0.0025657478920153433
3215130260.521042,0.0025784935150611294
3265210420.8416834,0.002583454489930818
3315290581.1623244,0.0025807678300089495
3365370741.4829655,0.002570635922122432
3415450901.803607,0.0025533179418808557
3465531062.1242485,0.00252912096991782
