Frequency (Hz),RCS (m²)
6501362725.450901,0.00012711409794155594
6581503006.012024,0.00013229903298288948
6661643286.573146,0.00013755584820156495
6741783567.134268,0.0001428765688320352
6821923847.695391,0.00014825265527144225
6902064128.256513,0.00015367501868346673
6982204408.817635,0.00015913404174389855
7062344689.378757,0.00016461960465651942
7142484969.939879,0.00017012111649961363
7222625250.501001,0.00017562755188821807
7302765531.062123,0.00018112749285616365
7382905811.623246,0.0001866091757766391
7463046092.184368,0.00019206054305208914
7543186372.74549,0.0001974692992157517
7623326653.306613,0.00020282297100023014
7703466933.867735,0.00020810897084541448
7783607214.428857,0.0002133146632411797
7863747494.98998,0.0002184274332318599
7943887775.551102,0.0002234347563516787
8024028056.112224,0.00022832426921508538
8104168336.6733465,0.00023308383995489538
8184308617.234468,0.00023770163768559375
8264448897.79559,0.00024216620016992725
8344589178.356712,0.00024646649888434967
8424729458.917835,0.00025059200071286776
8504869739.478957,0.00025453272554864956
8585010020.040079,0.00025827929914727687
8665150300.601202,0.00026182300065312843
8745290581.162325,0.000265155804309022
8825430861.723446,0.000268270414956633
8905571142.284569,0.0002711602970387286
8985711422.845692,0.00027381969692125716
9065851703.406813,0.0002762436584610296
9145991983.967936,0.0002784280318505036
9226132264.529057,0.0002803694758724852
9306272545.09018,0.00028206545379217123
9386412825.651302,0.00028351422319987857
9466553106.212423,0.0002847148201934655
9546693386.773546,0.000285667038353653
9626833667.33467,0.00028637140301737484
9706973947.89579,0.0002868291413935739
9787114228.456913,0.00028704214909246395
9867254509.018036,0.00028701295365359447
9947394789.579157,0.00028674467566069283
10027535070.14028,0.0002862409880231722
10107675350.701403,0.0002855060739864705
10187815631.262524,0.0002845445844073221
10267955911.823647,0.0002833615947969789
10348096192.38477,0.00028196256259671197
10428236472.94589,0.00028035328510701943
10508376753.507013,0.00027853985844613705
10588517034.068136,0.00027652863786600655
10668657314.629257,0.0002743261997058672
10748797595.19038,0.00027193930521616225
10828937875.751503,0.00026937486643933327
10909078156.312624,0.0002666399142900302
10989218436.873747,0.00026374156893588105
11069358717.43487,0.00026068701254167983
11149498997.99599,0.0002574834644049398
11229639278.557114,0.0002541381584794487
11309779559.118237,0.0002506583232558039
11389919839.679358,0.0002470511639438809
11470060120.24048,0.00024332384688174397
11550200400.801601,0.0002394834860784475
11630340681.362724,0.00023553713178433626
11710480961.923847,0.00023149176097158727
11790621242.484968,0.00022735426959957593
11870761523.046091,0.00022313146653394781
11950901803.607214,0.0002188300689847416
12031042084.168335,0.00021445669932726967
12111182364.729458,0.0002100178831694696
12191322645.29058,0.00020552004853081662
12271462925.851702,0.00020096952600043766
12351603206.412825,0.00019637254974553585
12431743486.973948,0.00019173525924546413
12511883767.535069,0.00018706370163158628
12592024048.096191,0.00018236383451827165
12672164328.657314,0.00017764152921590564
12752304609.218435,0.00017290257422246833
12832444889.779558,0.00016815267889605181
12912585170.340681,0.0001633974772164773
12992725450.901802,0.0001586425315499609
13072865731.462925,0.00015389333633647088
13153006012.024048,0.00014915532162501356
13233146292.585169,0.0001444338563875481
13313286573.146292,0.00013973425154757436
13393426853.707415,0.00013506176266463851
13473567134.268536,0.00013042159222108988
13553707414.829659,0.00012581889146239818
13633847695.390781,0.0001212587617472244
13713987975.951902,0.0001167462553682602
13794128256.513025,0.00011228637580961416
13874268537.074148,0.00010788407741127867
13954408817.63527,0.00010354426441595203
14034549098.196392,9.927178937826954e-05
14114689378.757515,9.507145092131247e-05
14194829659.318636,9.094799083013901e-05
14274969939.879759,8.690609047704266e-05
14355110220.44088,8.295036657828294e-05
14435250501.002003,7.908536628717013e-05
14515390781.563126,7.531556163361386e-05
14595531062.124247,7.164534332555749e-05
14675671342.68537,6.807901393311579e-05
14755811623.246492,6.462078048168109e-05
14835951903.807613,6.127474648574161e-05
14916092184.368736,5.804490346064685e-05
14996232464.92986,5.493512195500363e-05
15076372745.49098,5.194914215175949e-05
